2019-01-02 11:16:00 +0000 UTC	Another Love	Tom Odell	Long Way Down (Deluxe)	https://www.last.fm/music/Tom+Odell/_/Another+Love
2019-01-02 11:21:00 +0000 UTC	The Dutchman	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/The+Dutchman
2019-01-02 11:23:00 +0000 UTC	The Molly Maguires	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/The+Molly+Maguires
2019-01-02 11:27:00 +0000 UTC	Blowin' in the Wind	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Blowin%27+in+the+Wind
2019-01-02 11:30:00 +0000 UTC	Farewell to Carlingford	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Farewell+to+Carlingford
2019-01-02 11:33:00 +0000 UTC	Follow Me up to Carlow	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Follow+Me+up+to+Carlow
2019-01-02 11:37:00 +0000 UTC	As I Leave Behind Neidin	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/As+I+Leave+Behind+Neidin
2019-01-02 11:40:00 +0000 UTC	You Couldn't Have Come at a Better Time	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/You+Couldn%27t+Have+Come+at+a+Better+Time
2019-01-02 11:45:00 +0000 UTC	Dunmore Lasses	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Dunmore+Lasses
2019-01-02 11:49:00 +0000 UTC	Shoals Of Herring	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Shoals+Of+Herring
2019-01-02 11:52:00 +0000 UTC	A Nation Once Again	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/A+Nation+Once+Again
2019-01-02 11:56:00 +0000 UTC	Homeland	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Homeland
2019-01-02 12:01:00 +0000 UTC	Caledonia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Caledonia
2019-01-02 12:04:00 +0000 UTC	Molly Malone	The Dubliners	The Dubliners	https://www.last.fm/music/The+Dubliners/_/Molly+Malone
2019-01-02 12:07:00 +0000 UTC	Irish Way	The O'Reillys and the Paddyhats	Sign of the Fighter	https://www.last.fm/music/The+O%27Reillys+and+the+Paddyhats/_/Irish+Way
2019-01-02 12:13:00 +0000 UTC	The Green Fields of France	The Fureys	Twenty One Years On	https://www.last.fm/music/The+Fureys/_/The+Green+Fields+of+France
2019-01-02 12:14:00 +0000 UTC	God Rest Ye Merry Gentlemen	The Irish Rovers	Songs of Christmas	https://www.last.fm/music/The+Irish+Rovers/_/God+Rest+Ye+Merry+Gentlemen
2019-01-02 12:17:00 +0000 UTC	Wild Rover	The Dubliners	Cream Of Irish Folk	https://www.last.fm/music/The+Dubliners/_/Wild+Rover
2019-01-02 12:20:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
2019-01-02 12:23:00 +0000 UTC	The Galway Girl	Mundy	The Best That Is Irish	https://www.last.fm/music/Mundy/_/The+Galway+Girl
2019-01-02 12:26:00 +0000 UTC	Drunken Sailor	The Irish Rovers	Drunken Sailor	https://www.last.fm/music/The+Irish+Rovers/_/Drunken+Sailor
2019-01-02 12:29:00 +0000 UTC	Spanish lady	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Spanish+lady
2019-01-02 12:33:00 +0000 UTC	Galway Girl	Irish Pub Music	Irish Pub Music - Galway Girl	https://www.last.fm/music/Irish+Pub+Music/_/Galway+Girl
2019-01-02 12:36:00 +0000 UTC	Whiskey in the Jar	The Dubliners	Essential Irish Drinking Songs  Sing Alongs: Whiskey In The Jar	https://www.last.fm/music/The+Dubliners/_/Whiskey+in+the+Jar
2019-01-02 12:38:00 +0000 UTC	Cotton-Eyed Joe (from Another Country)	The Chieftains	The Wide World Over: A 40 Year Celebration	https://www.last.fm/music/The+Chieftains/_/Cotton-Eyed+Joe+(from+Another+Country)
2019-01-02 12:42:00 +0000 UTC	Galway Girl	The Kilkennys	Essential Irish Pub Songs	https://www.last.fm/music/The+Kilkennys/_/Galway+Girl
2019-01-02 12:46:00 +0000 UTC	The Badger Sett	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/The+Badger+Sett
2019-01-02 12:50:00 +0000 UTC	Fiddlers Green	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fiddlers+Green
2019-01-02 12:52:00 +0000 UTC	Bold o'donahue	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Bold+o%27donahue
2019-01-02 12:56:00 +0000 UTC	Fainleog	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fainleog
2019-01-02 13:00:00 +0000 UTC	Before the Deluge	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Before+the+Deluge
2019-01-02 13:03:00 +0000 UTC	Rocky Road To Dublin	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Rocky+Road+To+Dublin
2019-01-02 13:07:00 +0000 UTC	Caledonia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Caledonia
2019-01-02 13:10:00 +0000 UTC	Whiskey in the Jar	The Pogues	30:30 The Essential Collection	https://www.last.fm/music/The+Pogues/_/Whiskey+in+the+Jar
2019-01-02 13:10:00 +0000 UTC	The Galway Girl	Sharon Shannon	The Galway Girl: The Best of Sharon Shannon	https://www.last.fm/music/Sharon+Shannon/_/The+Galway+Girl
2019-01-02 13:12:00 +0000 UTC	Join the British Army	The Davitts	Celtic Anthems	https://www.last.fm/music/The+Davitts/_/Join+the+British+Army
2019-01-02 13:15:00 +0000 UTC	I'll Tell Me Ma	The Irish Travelers	St. Patrick's Day: 50 Irish Drinking Songs  Folk Music from Ireland	https://www.last.fm/music/The+Irish+Travelers/_/I%27ll+Tell+Me+Ma
2019-01-02 13:18:00 +0000 UTC	Boys of the Old Brigade	The Davitts	Celtic Anthems	https://www.last.fm/music/The+Davitts/_/Boys+of+the+Old+Brigade
2019-01-02 13:22:00 +0000 UTC	Rocky Road To Dublin	The Young Dubliners	Pure... Celtic	https://www.last.fm/music/The+Young+Dubliners/_/Rocky+Road+To+Dublin
2019-01-02 13:25:00 +0000 UTC	The Crack Was 90	Dublin City Ramblers	Dublin City Ramblers Live	https://www.last.fm/music/Dublin+City+Ramblers/_/The+Crack+Was+90
2019-01-02 13:29:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
